;title;artist;top genre;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop;fecha
33;Blah Blah Blah (feat. 3OH!3);Kesha;dance pop;120;84;75;-3;42;52;172;8;12;62;14/06/2016
34;Imma Be;The Black Eyed Peas;dance pop;92;52;60;-7;31;41;258;18;37;62;12/02/2012
35;Try Sleeping with a Broken Heart;Alicia Keys;hip pop;111;82;50;-5;13;55;249;16;11;62;16/08/2012
36;Sexy Bitch (feat. Akon);David Guetta;dance pop;130;63;81;-5;13;80;196;8;5;61;16/06/2015
37;Bound To You - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;164;41;29;-5;13;7;264;83;3;61;22/05/2017
38;If I Had You;Adam Lambert;australian pop;131;91;65;-4;37;79;228;1;11;59;20/08/2016
39;Rock That Body;The Black Eyed Peas;dance pop;125;91;72;-6;43;84;269;2;10;59;28/05/2015
40;Dog Days Are Over;Florence + The Machine;art pop;150;81;50;-5;12;26;253;3;9;58;02/08/2012
41;Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;150;85;51;-4;12;72;185;47;27;58;13/08/2016
42;Doesn't Mean Anything;Alicia Keys;hip pop;104;41;71;-7;10;10;273;4;3;57;07/09/2010
43;Hard;Rihanna;barbadian pop;182;75;31;-4;65;16;251;1;11;57;02/07/2011
44;Loca;Shakira;colombian pop;112;87;80;-4;9;85;193;19;7;56;15/06/2009
45;You Lost Me;Christina Aguilera;dance pop;43;39;23;-6;14;7;257;85;4;56;20/11/2015
46;Not Myself Tonight;Christina Aguilera;dance pop;120;81;76;-5;56;54;186;0;4;55;28/09/2017
47;Written in the Stars (feat. Eric Turner);Tinie Tempah;dance pop;91;95;64;-4;18;57;220;6;7;52;30/05/2017
48;DJ Got Us Fallin' In Love (feat. Pitbull);Usher;atl hip hop;120;86;66;-3;8;65;221;3;11;52;30/07/2017
49;Castle Walls (feat. Christina Aguilera);T.I.;atl hip hop;80;86;45;-5;26;58;329;7;39;49;04/10/2012
50;Break Your Heart;Taio Cruz;dance pop;122;90;67;-5;8;63;186;0;3;33;17/11/2013
51;Hello;Martin Solveig;big room;128;98;67;-3;10;45;191;1;3;0;18/08/2011
52;A Thousand Years;Christina Perri;dance pop;139;41;42;-7;11;16;285;31;3;81;29/10/2009
53;Someone Like You;Adele;british soul;135;33;56;-8;10;28;285;89;3;80;27/03/2012
54;Give Me Everything;Pitbull;dance pop;129;94;67;-3;30;53;252;19;16;79;26/12/2011
55;Just the Way You Are;Bruno Mars;pop;109;84;64;-5;9;43;221;2;4;78;11/06/2013
56;Rolling in the Deep;Adele;british soul;105;76;73;-5;5;52;228;13;3;76;31/01/2017
57;Run the World (Girls);Beyoncé;dance pop;127;90;73;-4;37;76;236;0;14;76;06/10/2014
58;Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;pop;128;76;72;-4;32;62;201;1;5;76;29/04/2017
59;Love On Top;Beyoncé;dance pop;94;75;65;-5;60;65;267;8;9;76;19/03/2016
60;Grenade;Bruno Mars;pop;110;56;71;-7;12;23;223;15;6;75;15/12/2016
61;Tonight Tonight;Hot Chelle Rae;dance pop;100;78;69;-5;16;81;200;8;12;75;09/06/2017
62;What the Hell;Avril Lavigne;canadian pop;150;93;58;-4;14;88;221;0;5;74;21/05/2016
63;Born This Way;Lady Gaga;dance pop;124;83;59;-5;33;49;260;0;16;73;16/02/2014
64;Monster;Kanye West;chicago rap;125;69;63;-6;67;10;379;0;20;73;16/06/2017
65;Marry You;Bruno Mars;pop;145;83;62;-5;10;48;230;33;4;73;05/10/2013
66;Best Thing I Never Had;Beyoncé;dance pop;99;65;55;-4;9;30;254;14;3;73;29/07/2011
67;Party Rock Anthem;LMFAO;dance pop;130;74;75;-4;27;35;262;2;16;72;11/07/2010
68;We R Who We R;Kesha;dance pop;120;82;74;-5;12;65;205;1;4;72;16/07/2011
69;Price Tag;Jessie J;australian pop;175;83;64;-4;27;68;223;3;18;72;31/01/2011
70;Good Life;OneRepublic;dance pop;95;69;63;-8;13;65;253;8;5;72;14/03/2016
71;Just Can’t Get Enough;The Black Eyed Peas;dance pop;94;63;66;-9;11;26;219;19;18;71;13/07/2014
72;On The Floor;Jennifer Lopez;dance pop;130;78;73;-5;7;57;285;11;5;69;01/07/2010
73;What's My Name?;Rihanna;barbadian pop;100;79;69;-3;8;58;263;23;7;69;06/12/2017
74;Yeah 3x;Chris Brown;dance pop;130;88;71;-3;9;70;242;0;4;69;13/01/2009
75;Without You (feat. Usher);David Guetta;dance pop;128;61;61;-4;16;40;208;23;3;68;08/05/2011
76;Sexy And I Know It;LMFAO;dance pop;130;86;71;-4;19;80;199;10;32;67;31/03/2017
77;The Edge Of Glory;Lady Gaga;dance pop;128;77;58;-6;11;36;321;0;4;67;03/05/2018
78;E.T.;Katy Perry;dance pop;152;87;62;-5;37;76;230;2;18;66;08/07/2018
79;Till the World Ends;Britney Spears;dance pop;132;71;69;-6;20;45;238;2;7;65;20/09/2011
80;I Wanna Go;Britney Spears;dance pop;130;55;70;-7;33;79;210;0;4;64;09/02/2012
81;Blow;Kesha;dance pop;120;73;75;-4;7;81;220;0;4;64;09/07/2011
82;You And I;Lady Gaga;dance pop;127;70;52;-5;9;52;307;9;5;64;15/11/2010
83;Judas;Lady Gaga;dance pop;131;93;66;-4;27;53;249;0;7;63;04/10/2014
84;Tonight (I'm Fuckin' You);Enrique Iglesias;dance pop;126;89;65;-4;12;32;232;3;5;63;29/12/2009
85;Please Don't Go;Mike Posner;dance pop;120;88;70;-4;13;66;197;0;3;63;23/10/2011
86;We Found Love;Rihanna;barbadian pop;128;77;73;-4;11;60;215;3;4;61;11/03/2013
87;Marry The Night;Lady Gaga;dance pop;131;88;61;-4;46;38;265;0;6;61;08/09/2010
88;1+1;Beyoncé;dance pop;63;38;30;-7;7;26;274;38;3;60;07/12/2010
89;Hold It Against Me;Britney Spears;dance pop;133;72;65;-5;24;39;229;1;4;59;07/04/2018
90;I'm Into You;Jennifer Lopez;dance pop;84;75;59;-4;8;70;200;2;14;59;02/09/2012
91;Papi;Jennifer Lopez;dance pop;120;81;71;-5;37;89;223;13;6;58;10/11/2012
92;Cheers (Drink To That);Rihanna;barbadian pop;80;91;58;-4;29;73;262;2;4;58;23/07/2018
93;S&M Remix;Rihanna;barbadian pop;128;81;82;-3;5;89;257;5;5;54;29/07/2013
94;Written in the Stars (feat. Eric Turner);Tinie Tempah;dance pop;91;95;64;-4;18;57;220;6;7;52;27/09/2014
95;Jar of Hearts;Christina Perri;dance pop;75;35;35;-6;12;9;247;73;3;50;29/08/2012
96;Castle Walls (feat. Christina Aguilera);T.I.;atl hip hop;80;86;45;-5;26;58;329;7;39;49;29/05/2018
97;Turning Page;Sleeping At Last;acoustic pop;125;38;30;-8;11;19;255;91;3;46;16/01/2015
98;Super Bass;Nicki Minaj;dance pop;127;74;77;-7;40;59;201;6;23;38;02/08/2014
99;Raise Your Glass;P!nk;dance pop;122;64;68;-7;12;56;208;0;12;38;26/08/2014
100;Invading My Mind;Jennifer Lopez;dance pop;129;88;73;-4;32;69;201;2;7;31;28/06/2018
101;Moment 4 Life - Album Version (Edited);Nicki Minaj;dance pop;130;88;50;-4;22;37;279;39;38;28;28/09/2017
102;Last Friday Night (T.G.I.F.);Katy Perry;dance pop;126;81;65;-4;67;72;231;0;4;27;27/03/2013
103;Firework;Katy Perry;dance pop;124;83;64;-5;11;65;228;14;5;25;24/04/2010
104;Muny - Album Version (Edited);Nicki Minaj;dance pop;98;72;80;-5;19;53;227;56;33;7;25/05/2012
105;Titanium (feat. Sia);David Guetta;dance pop;126;79;60;-4;13;30;245;7;10;80;20/04/2015
106;Locked Out of Heaven;Bruno Mars;pop;144;70;73;-4;31;87;233;5;4;79;22/04/2012
107;Paradise;Coldplay;permanent wave;140;59;45;-7;8;20;279;5;3;79;13/11/2017
108;Payphone;Maroon 5;pop;110;75;74;-5;29;55;231;2;4;79;18/12/2009
109;What Makes You Beautiful;One Direction;boy band;125;79;73;-2;6;89;200;1;7;78;08/11/2013
110;I Knew You Were Trouble.;Taylor Swift;pop;77;47;62;-7;3;68;220;0;4;77;27/09/2011
111;Call Me Maybe;Carly Rae Jepsen;canadian pop;120;58;78;-7;11;66;193;1;4;76;26/07/2011
112;Love You Like A Love Song;Selena Gomez & The Scene;dance pop;117;68;86;-4;7;92;188;8;5;76;19/02/2011
113;Set Fire to the Rain;Adele;british soul;108;68;61;-4;13;47;242;0;3;76;10/09/2012
114;We Are Never Ever Getting Back Together;Taylor Swift;pop;86;68;63;-6;12;75;193;1;9;75;04/08/2016
115;Stronger (What Doesn't Kill You);Kelly Clarkson;dance pop;116;94;56;-4;11;68;222;5;5;74;18/10/2014
116;Try;P!nk;dance pop;104;63;67;-7;9;55;248;0;3;74;28/03/2011
117;Starships;Nicki Minaj;dance pop;125;72;75;-2;25;75;211;14;8;73;07/08/2015
118;One More Night;Maroon 5;pop;93;82;72;-3;8;62;220;6;3;73;20/07/2017
119;Good Time;Owl City;pop;126;87;56;-4;37;68;206;2;14;73;02/01/2009
120;Glad You Came;The Wanted;boy band;127;85;72;-4;11;45;198;3;6;72;18/02/2014
121;Beauty And A Beat;Justin Bieber;canadian pop;128;84;60;-5;7;53;228;0;6;72;18/07/2010
122;International Love;Pitbull;dance pop;120;86;67;-3;34;65;227;1;5;72;03/10/2009
123;Some Nights;fun.;baroque pop;108;74;67;-7;9;39;277;2;5;72;31/07/2015
124;Boyfriend;Justin Bieber;canadian pop;97;55;72;-6;13;33;171;4;5;71;08/03/2009
125;Part Of Me;Katy Perry;dance pop;130;92;68;-5;7;77;216;0;4;71;25/06/2010
126;Domino;Jessie J;australian pop;127;55;76;-5;4;78;232;1;3;69;22/08/2016
127;Where Have You Been;Rihanna;barbadian pop;128;85;72;-6;22;44;243;0;9;68;21/12/2011
128;Wide Awake;Katy Perry;dance pop;160;68;51;-5;39;57;221;7;4;68;06/09/2010
129;The One That Got Away;Katy Perry;dance pop;134;80;69;-4;16;88;227;0;4;67;20/04/2015
130;Dance Again;Jennifer Lopez;dance pop;128;86;79;-5;10;71;237;2;7;66;03/12/2015
131;Turn Up the Music;Chris Brown;dance pop;130;84;59;-6;16;64;228;0;10;65;15/07/2014
132;Lights - Single Version;Ellie Goulding;dance pop;120;80;68;-6;13;78;211;3;4;65;13/11/2010
133;We Are Young (feat. Janelle Monáe);fun.;baroque pop;184;64;38;-6;8;74;251;2;8;63;02/11/2017
134;Diamonds;Rihanna;barbadian pop;92;71;56;-5;11;39;225;0;5;61;23/06/2017
135;Don't Stop the Party (feat. TJR);Pitbull;dance pop;127;96;72;-4;38;95;206;1;9;59;20/07/2013
136;You Da One;Rihanna;barbadian pop;127;72;70;-5;13;86;200;50;4;57;06/02/2011
137;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;dance pop;90;80;65;-3;27;80;211;3;10;54;23/01/2013
138;It Will Rain;Bruno Mars;pop;150;84;58;-7;8;48;258;34;5;38;04/11/2012
139;Blow Me (One Last Kiss);P!nk;dance pop;114;92;60;-3;25;75;256;0;4;0;11/02/2010
140;Underneath the Tree;Kelly Clarkson;dance pop;160;81;51;-5;21;69;230;0;5;88;26/04/2012
141;Wake Me Up;Avicii;big room;124;78;53;-6;16;64;247;0;5;85;21/05/2011
142;Story of My Life;One Direction;boy band;121;66;60;-6;12;29;245;23;5;81;12/04/2009
143;Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;95;55;78;-7;13;44;243;35;5;81;23/02/2018
144;Hall of Fame;The Script;celtic rock;85;87;42;-4;12;63;203;7;6;80;20/01/2013
145;Roar;Katy Perry;dance pop;180;77;55;-5;35;46;224;0;4;78;19/06/2012
146;We Can't Stop;Miley Cyrus;dance pop;80;62;61;-6;37;48;231;1;3;78;29/01/2015
147;Don't You Worry Child - Radio Edit;Swedish House Mafia;big room;129;84;61;-3;12;44;213;11;5;78;08/03/2017
148;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;electro;116;81;79;-9;10;86;248;4;4;77;22/02/2015
149;Wrecking Ball;Miley Cyrus;dance pop;120;42;53;-6;11;35;221;41;3;77;06/04/2011
150;Impossible;James Arthur;pop;170;70;38;-5;11;30;209;14;9;77;21/01/2009
151;Blurred Lines;Robin Thicke;dance pop;120;60;85;-5;8;84;264;0;4;76;03/12/2016
152;Heart Attack;Demi Lovato;dance pop;174;79;50;-5;24;50;211;7;10;76;14/12/2012
153;We Are Never Ever Getting Back Together;Taylor Swift;pop;86;68;63;-6;12;75;193;1;9;75;25/02/2012
154;Die Young;Kesha;dance pop;128;70;71;-5;22;80;212;0;5;75;23/08/2014
155;Clarity;Zedd;complextro;128;78;51;-3;7;18;271;4;7;75;13/09/2013
156;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;art pop;126;81;57;-6;13;11;215;2;6;74;03/10/2017
157;Under Control;Calvin Harris;dance pop;126;92;54;-3;12;51;184;13;8;74;21/10/2015
158;Everybody Talks;Neon Trees;indie pop;155;92;47;-4;31;73;177;0;6;74;30/12/2014
159;Hold On, We're Going Home;Drake;canadian hip hop;100;41;77;-7;7;29;228;0;10;73;06/10/2009
160;Best Song Ever;One Direction;boy band;118;88;65;-3;8;49;200;2;5;73;17/01/2014
161;Kiss You;One Direction;boy band;90;93;63;-3;32;91;183;2;6;73;18/08/2016
162;Sweet Nothing (feat. Florence Welch);Calvin Harris;dance pop;128;93;57;-4;6;58;213;20;11;72;07/04/2016
163;Lose Yourself to Dance;Daft Punk;electro;100;66;83;-8;8;67;354;8;6;72;20/05/2011
164;Work Bitch;Britney Spears;dance pop;128;82;63;-7;7;85;248;16;16;71;05/04/2015
165;Brave;Sara Bareilles;acoustic pop;185;84;55;-4;4;76;221;1;5;71;22/12/2016
166;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;dance pop;146;93;63;-4;10;88;258;3;8;70;28/03/2012
167;Feel This Moment (feat. Christina Aguilera);Pitbull;dance pop;136;76;67;-4;34;54;230;4;16;70;19/04/2015
168;Beneath Your Beautiful;Labrinth;pop;84;52;56;-6;10;23;272;23;4;70;29/10/2011
169;Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;dance pop;125;68;66;-7;37;25;252;25;4;70;26/10/2014
170;Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;dance pop;95;53;78;-7;5;66;236;6;29;69;27/07/2010
171;If I Lose Myself - Alesso vs OneRepublic;OneRepublic;dance pop;126;75;52;-6;14;16;215;26;4;69;17/11/2009
172;The Way;Ariana Grande;dance pop;82;88;65;-3;8;86;227;29;11;68;08/12/2009
173;Suit & Tie;Justin Timberlake;dance pop;102;60;80;-4;16;36;326;10;22;68;28/12/2013
174;#thatPOWER;will.i.am;dance pop;128;61;80;-6;7;40;280;0;6;68;04/11/2017
175;I Love It (feat. Charli XCX);Icona Pop;candy pop;126;91;71;-3;15;82;157;1;3;67;27/01/2012
176;Play Hard (feat. Ne-Yo & Akon) - New Edit;David Guetta;dance pop;130;87;72;-3;66;68;209;4;4;67;04/02/2018
177;Daylight;Maroon 5;pop;120;67;66;-5;26;37;225;0;3;66;03/09/2014
178;Love Somebody;Maroon 5;pop;120;78;68;-6;12;40;230;13;4;65;07/03/2015
179;A Little Party Never Killed Nobody (All We Got);Fergie;dance pop;130;62;76;-6;9;52;241;1;18;65;13/12/2011
180;Move;Little Mix;dance pop;121;74;85;-5;55;77;224;0;9;63;17/07/2012
181;Walks Like Rihanna;The Wanted;boy band;126;82;56;-3;10;43;202;1;6;62;23/01/2010
182;Rock N Roll;Avril Lavigne;canadian pop;184;96;47;-3;34;67;207;1;13;61;05/06/2014
183;Heartbreaker;Justin Bieber;canadian pop;105;52;56;-7;34;58;263;14;10;61;03/05/2013
184;Mirrors - Radio Edit;Justin Timberlake;dance pop;77;60;58;-6;43;65;277;14;5;60;04/03/2011
185;Next To Me;Emeli Sandé;dance pop;95;80;67;-5;11;35;197;9;4;60;28/11/2014
186;Made In The USA;Demi Lovato;dance pop;87;86;58;-4;32;59;196;0;4;60;18/09/2017
187;Clown;Emeli Sandé;dance pop;130;23;45;-8;11;23;221;92;4;60;01/05/2013
188;Girl On Fire (feat. Nicki Minaj) - Inferno Version;Alicia Keys;hip pop;93;81;55;-6;15;34;271;9;31;59;19/09/2012
189;TKO;Justin Timberlake;dance pop;138;68;61;-7;43;49;424;1;24;58;28/11/2010
190;Come & Get It;Selena Gomez;dance pop;80;79;55;-4;10;58;232;1;5;57;17/01/2013
191;Live It Up;Jennifer Lopez;dance pop;128;73;69;-5;33;65;244;1;17;57;21/07/2013
192;We Own The Night;The Wanted;boy band;104;94;55;-4;23;56;206;1;13;56;25/04/2009
193;Atlas - From “The Hunger Games: Catching Fire” Soundtrack;Coldplay;permanent wave;136;45;28;-8;11;11;236;63;3;55;03/12/2012
194;What About Love;Austin Mahone;dance pop;100;78;63;-7;4;28;203;0;4;54;03/08/2013
195;Take Back the Night;Justin Timberlake;dance pop;107;66;59;-5;64;33;353;4;16;54;21/12/2016
196;Applause;Lady Gaga;dance pop;140;78;67;-4;11;73;212;3;5;52;24/07/2018
197;Anything Could Happen;Ellie Goulding;dance pop;103;78;70;-4;14;38;286;43;3;52;13/11/2011
198;Finally Found You;Enrique Iglesias;dance pop;128;88;62;-5;35;66;221;1;10;52;13/05/2011
199;Pom Poms;Jonas Brothers;boy band;148;98;68;-2;28;90;198;7;9;52;29/06/2010
200;#Beautiful;Mariah Carey;dance pop;107;76;68;-5;31;45;200;29;4;51;25/03/2017
201;How Ya Doin'? (feat. Missy Elliott);Little Mix;dance pop;201;95;36;-3;37;51;211;9;48;50;02/02/2014
202;Crazy Kids (feat. will.i.am);Kesha;dance pop;128;75;72;-4;13;50;229;4;4;46;12/08/2015
203;"Ooh La La (from ""The Smurfs 2"")";Britney Spears;dance pop;128;57;69;-5;11;73;257;2;5;45;03/12/2014
204;People Like Us;Kelly Clarkson;dance pop;128;79;60;-5;36;61;259;4;4;45;28/02/2012
205;Overdose;Ciara;dance pop;107;70;77;-6;6;79;227;1;3;43;06/06/2018
206;Right Now - Dyro Radio Edit;Rihanna;barbadian pop;130;74;53;-6;24;45;186;0;4;42;16/05/2010
207;Give It 2 U;Robin Thicke;dance pop;127;83;67;-4;16;58;230;10;7;41;11/02/2011
208;Foolish Games;Jewel;alaska indie;132;34;51;-11;12;7;250;23;3;36;09/03/2012
209;Outta Nowhere (feat. Danny Mercer);Pitbull;dance pop;95;84;71;-4;21;66;207;16;3;35;25/06/2011
210;Freak;Kelly Rowland;atl hip hop;104;78;65;-5;12;45;274;13;6;28;07/03/2012
211;All of Me;John Legend;neo mellow;120;26;42;-7;13;33;270;92;3;86;05/03/2013
212;Stay With Me;Sam Smith;pop;84;42;42;-6;11;18;173;59;4;85;05/11/2017
213;Summer;Calvin Harris;dance pop;128;86;60;-4;14;74;223;2;3;80;17/10/2009
214;"Happy - From ""Despicable Me 2""";Pharrell Williams;dance pop;160;82;65;-5;9;96;233;22;18;79;07/10/2015
215;Rude;MAGIC!;pop;144;76;77;-5;31;93;225;4;4;79;03/10/2013
216;Shake It Off;Taylor Swift;pop;160;80;65;-5;33;94;219;6;17;78;06/12/2011
217;Dark Horse;Katy Perry;dance pop;132;59;65;-6;17;35;216;0;5;78;14/08/2015
218;Hey Brother;Avicii;big room;125;78;55;-5;8;46;255;3;4;78;10/05/2015
219;Maps;Maroon 5;pop;120;71;74;-6;6;88;190;2;3;78;21/06/2010
220;Treasure;Bruno Mars;pop;116;69;87;-5;32;94;179;4;4;77;06/12/2013
221;Let Her Go;Passenger;folk-pop;75;54;51;-7;10;24;253;39;6;77;27/09/2014
222;Problem;Ariana Grande;dance pop;103;81;66;-5;16;63;194;2;15;75;18/12/2012
223;Pompeii;Bastille;metropopolis;127;72;68;-6;27;57;214;8;4;73;05/11/2011
224;Team;Lorde;art pop;100;58;69;-7;31;42;193;17;9;73;01/01/2017
225;Love Me Again;John Newman;pop;126;89;50;-5;10;21;240;0;4;73;12/10/2013
226;Latch;Disclosure;house;122;73;50;-5;9;52;256;2;17;72;24/11/2012
227;Adore You;Miley Cyrus;dance pop;120;66;58;-5;11;20;279;11;3;72;15/01/2009
228;Love Never Felt So Good;Michael Jackson;pop;118;72;78;-6;7;71;246;13;4;71;19/11/2011
229;Burn;Ellie Goulding;dance pop;87;78;56;-5;11;33;231;31;4;71;19/08/2016
230;She Looks So Perfect;5 Seconds of Summer;boy band;160;95;49;-4;33;44;202;0;13;71;07/11/2013
231;Fancy;Iggy Azalea;australian hip hop;95;72;91;-4;5;38;200;9;7;70;06/03/2016
232;Talk Dirty (feat. 2 Chainz);Jason Derulo;dance pop;100;65;76;-7;31;76;178;3;23;68;21/09/2010
233;Gorilla;Bruno Mars;pop;140;54;72;-7;10;64;244;45;4;68;08/09/2012
234;human;Christina Perri;dance pop;144;49;44;-6;11;25;251;13;4;68;21/04/2013
235;Young Girls;Bruno Mars;pop;126;75;56;-5;21;50;229;46;3;67;15/04/2015
236;Wiggle (feat. Snoop Dogg);Jason Derulo;dance pop;82;62;70;-7;16;72;193;8;25;67;03/05/2016
237;Love Runs Out;OneRepublic;dance pop;120;93;72;-4;8;74;225;17;6;66;11/01/2010
238;This Is How We Do;Katy Perry;dance pop;96;64;69;-6;15;80;204;2;5;66;23/09/2009
239;Mmm Yeah (feat. Pitbull);Austin Mahone;dance pop;126;92;71;-4;27;98;232;0;4;65;05/01/2014
240;A Little Party Never Killed Nobody (All We Got);Fergie;dance pop;130;62;76;-6;9;52;241;1;18;65;03/05/2013
241;#SELFIE;The Chainsmokers;electropop;128;92;79;-3;8;66;184;1;25;65;05/12/2013
242;Partition;Beyoncé;dance pop;186;44;41;-12;31;17;319;3;29;65;28/11/2010
243;Birthday;Katy Perry;dance pop;126;67;72;-5;11;84;215;9;7;65;11/09/2012
244;G.U.Y.;Lady Gaga;dance pop;110;92;62;-3;12;57;233;1;4;65;23/09/2016
245;Stay The Night - Featuring Hayley Williams Of Paramore;Zedd;complextro;128;74;60;-3;9;46;217;11;4;64;15/04/2014
246;"Let It Go - From ""Frozen / Single Version";Demi Lovato;dance pop;140;66;50;-6;27;25;226;3;4;63;28/04/2017
247;Wings;Birdy;neo mellow;83;71;47;-5;16;22;252;8;3;62;09/02/2017
248;Can't Remember to Forget You (feat. Rihanna);Shakira;colombian pop;138;81;69;-4;14;82;207;12;7;62;02/07/2015
249;Shot Me Down (feat. Skylar Grey) - Radio Edit;David Guetta;dance pop;192;77;35;-4;12;4;191;6;5;61;27/08/2011
250;Say Something;A Great Big World;neo mellow;138;15;45;-9;9;9;229;87;3;61;03/05/2017
251;A Sky Full of Stars;Coldplay;permanent wave;125;68;55;-6;21;16;268;1;3;60;18/09/2009
252;Come Get It Bae;Pharrell Williams;dance pop;120;80;93;-6;10;90;202;27;8;59;02/02/2015
253;Chandelier;Sia;australian dance;174;78;29;-3;7;62;216;2;7;56;10/01/2010
254;XO;Beyoncé;dance pop;170;79;47;-9;31;21;216;17;26;56;10/08/2015
255;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song];Pitbull;dance pop;125;94;60;-4;10;55;222;0;7;56;02/01/2009
256;Not About Angels;Birdy;neo mellow;116;14;41;-10;9;23;190;97;4;56;12/12/2010
257;Drunk in Love;Beyoncé;dance pop;140;62;59;-7;18;40;323;1;5;52;10/03/2011
258;Anaconda;Nicki Minaj;dance pop;130;60;96;-6;21;65;260;7;18;50;02/09/2014
259;Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter;Charli XCX;candy pop;92;81;68;-4;34;64;169;7;6;50;03/01/2014
260;La La La (Brasil 2014) (feat. Carlinhos Brown);Shakira;colombian pop;128;82;80;-5;35;61;198;18;4;50;04/03/2017
261;Tee Shirt - Soundtrack Version;Birdy;neo mellow;76;34;68;-9;9;56;160;84;3;49;29/05/2013
262;Words as Weapons;Birdy;neo mellow;120;35;53;-9;14;19;239;28;3;44;19/07/2017
263;You're Mine (Eternal);Mariah Carey;dance pop;149;58;63;-7;38;56;224;28;7;38;30/01/2009
264;Sheezus;Lily Allen;dance pop;130;50;78;-7;11;39;235;15;4;37;12/02/2014
265;Cannonball;Lea Michele;hollywood;92;82;56;-3;19;57;215;2;5;37;04/03/2009
